Listed Company's English Name,Listed Company's Chinese Name,Stock Code,Listing Status,Director's English Name,Director's Chinese Name,Capacity,Position,Appointment Date (yyyy-mm-dd),Resignation Date (yyyy-mm-dd)
"Winsor Industrial Corporation, Limited",南聯實業有限公司,00098,Delisted,HO Fook Hong Ferdinand,何福康,Independent Non Executive Director,,1998-12-18,2006-12-21
Wong's International Holdings Limited,王氏國際集團有限公司,00099,Current,YU Sun Say,楊孫西,Independent Non Executive Director,,1999-10-16,
Wong's International Holdings Limited,王氏國際集團有限公司,00099,Current,LI Ka Cheung Eric,李家祥,Independent Non Executive Director - A/F,,1999-04-16,
Hang Lung Properties Limited,恒隆地產有限公司,00101,Current,LIU Pak Wai,廖柏偉,Independent Non Executive Director,,1998-11-27,2016-04-28
Hang Lung Properties Limited,恒隆地產有限公司,00101,Current,CHEN Lok Yee Laura,陳樂怡,Independent Non Executive Director - A/F,,1997-04-01,2015-05-18
Summit Ascent Holdings Limited,凱升控股有限公司,00102,Current,YEH V-Nee,葉維義,Independent Non Executive Director - A/F,,1999-01-06,2009-01-20
Shougang Century Holdings Limited,首佳科技製造有限公司,00103,Current,TANG Kwok Kau Cornor,鄧國求,Executive Director,,1998-12-30,2020-11-30
Shougang Century Holdings Limited,首佳科技製造有限公司,00103,Current,TONG Yi Hui,佟一慧,Executive Director,,1998-09-23,2011-05-19
Asia Commercial Holdings Limited,冠亞商業集團有限公司,00104,Current,LAI Si Ming,賴思明,Independent Non Executive Director,,1998-08-08,
Asia Commercial Holdings Limited,冠亞商業集團有限公司,00104,Current,LEUNG Chung Ping Owen,梁仲平,Executive Director,Chairman,1997-02-19,2006-12-16
Asia Commercial Holdings Limited,冠亞商業集團有限公司,00104,Current,SUM Pui Ying Adrian,沈培英,Executive Director,Managing Director,1997-02-19,2006-12-16
Asia Commercial Holdings Limited,冠亞商業集團有限公司,00104,Current,SIT Kien Ping Peter,薛建平,Independent Non Executive Director,,1997-02-19,2006-12-16
GR Properties Limited,國銳地產有限公司,00108,Current,LO Cheung Kin,盧象乾,Executive Director,Chairman,1998-09-30,2014-02-17
GR Properties Limited,國銳地產有限公司,00108,Current,JONG Lai Ching,莊麗晶,Non Executive Director,,1998-09-30,2007-02-01
GR Properties Limited,國銳地產有限公司,00108,Current,SIU Wing Keung,蕭永強,Independent Non Executive Director,,1997-11-14,2006-10-20
GR Properties Limited,國銳地產有限公司,00108,Current,YIN Hoi Yeung,言海揚,Executive Director,,1998-09-30,2007-02-01
GR Properties Limited,國銳地產有限公司,00108,Current,CHU Kwok Chue,朱國柱,Non Executive Director,,1997-11-24,2006-10-20
GR Properties Limited,國銳地產有限公司,00108,Current,JONG Tat Fung,莊達豐,Executive Director,,1997-11-24,2006-10-20
China Fortune Holdings Limited,中國長遠控股有限公司,00110,Current,FUNG Oi Ip Alfonso,馮靄業,Non Executive Director,,1999-10-26,2012-06-05
China Fortune Holdings Limited,中國長遠控股有限公司,00110,Current,LO Wing Yat,盧永逸,Non Executive Director,,1999-10-26,2010-09-30
China Fortune Holdings Limited,中國長遠控股有限公司,00110,Current,LIU Kwok Fai Alvan,廖國輝,Independent Non Executive Director,,1999-10-26,2007-02-28
China Fortune Holdings Limited,中國長遠控股有限公司,00110,Current,CHANG Wing Seng Victor,鄭永勝,Independent Non Executive Director - A/F,,1999-10-26,2018-06-04
China Fortune Holdings Limited,中國長遠控股有限公司,00110,Current,LAU Siu Ying,劉小鷹,Executive Director,"Chairman, CEO",1999-10-26,
Grand Field Group Holdings Limited,鈞濠集團有限公司,00115,Current,HUI Pui Wai Kimber,許培偉,Independent Non Executive Director,,1999-08-04,2008-05-21
Grand Field Group Holdings Limited,鈞濠集團有限公司,00115,Current,KWOK Wai Man Nancy,郭慧玟,Executive Director,,1999-05-20,2007-07-11
Grand Field Group Holdings Limited,鈞濠集團有限公司,00115,Current,TSANG Wai Lun Wayland,曾煒麟,Executive Director,Chairman,1999-05-20,2007-07-11
Grand Field Group Holdings Limited,鈞濠集團有限公司,00115,Current,LAU Tam Wah,劉潭華,Executive Director,,1999-05-20,2006-12-25
Cosmos Machinery Enterprises Limited,大同機械企業有限公司,00118,Current,WONG Yiu Ming,黃耀明,Executive Director,,1997-06-23,2021-01-01
Cosmos Machinery Enterprises Limited,大同機械企業有限公司,00118,Current,KAN Wai Wah,簡衞華,Non Executive Director,,1998-05-22,
Cosmos Machinery Enterprises Limited,大同機械企業有限公司,00118,Current,TANG Kwan,鄧焜,Non Executive Director,,1997-09-18,2011-03-18
"Poly Property Group Co., Limited",保利置業集團有限公司,00119,Current,LI Shi Liang,李世亮,Executive Director,Managing Director,1999-12-31,2006-07-05
"Poly Property Group Co., Limited",保利置業集團有限公司,00119,Current,YAO Kang,姚剛,Independent Non Executive Director,,1999-03-19,2013-05-15
C.P. Lotus Corporation,卜蜂蓮花有限公司,00121,Delisted,SANGSNIT Viroj,,Independent Non Executive Director,,1999-03-15,2019-10-28
C.P. Lotus Corporation,卜蜂蓮花有限公司,00121,Delisted,KOTIKULA Chokchai,,Independent Non Executive Director,,1999-03-15,2012-04-01
Crocodile Garments Limited,鱷魚恤有限公司,00122,Current,LAM Kin Hong Matthew,林建康,Executive Director,,1999-07-26,
Guangdong Land Holdings Limited,粵海置地控股有限公司,00124,Current,SMITH Alan Howard,史亞倫,Independent Non Executive Director,,1999-01-16,2023-01-01
Guangdong Land Holdings Limited,粵海置地控股有限公司,00124,Current,YEH V-Nee,葉維義,Independent Non Executive Director - A/F,,1999-01-16,2009-01-20
Sun Hing Vision Group Holdings Limited,新興光學集團控股有限公司,00125,Current,KU Ka Yung,顧嘉勇,Executive Director,,1999-03-02,
Sun Hing Vision Group Holdings Limited,新興光學集團控股有限公司,00125,Current,TSANG Wing Leung Jimson,曾永良,Executive Director,,1999-03-03,2016-06-01
Sun Hing Vision Group Holdings Limited,新興光學集團控股有限公司,00125,Current,LO Wa Kei Roy,盧華基,Independent Non Executive Director - A/F,,1999-05-01,2021-03-01
Sun Hing Vision Group Holdings Limited,新興光學集團控股有限公司,00125,Current,KU Ling Wah Phyllis,顧伶華,Executive Director,,1999-03-03,2012-12-28
Sun Hing Vision Group Holdings Limited,新興光學集團控股有限公司,00125,Current,KU Ngai Yung Otis,顧毅勇,Executive Director,Chairman,1999-03-02,
Sun Hing Vision Group Holdings Limited,新興光學集團控股有限公司,00125,Current,KU Yiu Tung,顧堯棟,Non Executive Director,,1999-03-03,2013-03-22
Asia Standard International Group Limited,泛海國際集團有限公司,00129,Current,KOON Bok Ming Alan,管博明,Independent Non Executive Director - A/F,,1999-12-22,2023-04-21
Asia Standard International Group Limited,泛海國際集團有限公司,00129,Current,LOUP Nicholas James,,Executive Director,,1999-08-20,2011-03-25
China Investments Holdings Limited,中國興業控股有限公司,00132,Current,KAM Hung Chung,甘洪忠,Executive Director,Managing Director,1998-04-21,2009-02-26
China Merchants China Direct Investments Limited,招商局中國基金有限公司,00133,Current,KAN Ka Yee Elizabeth,簡家宜,Alternate Director,,1999-05-20,2020-04-24
China Merchants China Direct Investments Limited,招商局中國基金有限公司,00133,Current,LI Kai Cheong Samson,李繼昌,Alternate Director,,1999-05-15,2008-08-22
China Merchants China Direct Investments Limited,招商局中國基金有限公司,00133,Current,HUANG Da Zhan,黃大展,Executive Director,,1999-03-17,2007-06-22
China Merchants China Direct Investments Limited,招商局中國基金有限公司,00133,Current,FU Yu Ning,傅育寧,Executive Director,Chairman,1999-01-26,2008-07-04
Kunlun Energy Company Limited,昆侖能源有限公司,00135,Current,LI Kwok Sing,李國星,Independent Non Executive Director - A/F,,1998-08-03,2020-05-27
Kunlun Energy Company Limited,昆侖能源有限公司,00135,Current,LIN Jin Gao,林金高,Non Executive Director,,1997-05-28,2006-05-25
China Ruyi Holdings Limited,中國儒意控股有限公司,00136,Current,CHENG Chun Kit,鄭俊傑,Executive Director,,1997-08-11,2007-01-31
China Ruyi Holdings Limited,中國儒意控股有限公司,00136,Current,WONG Yui Leung Larry,黃銳良,Independent Non Executive Director - A/F,,1998-09-29,2007-11-12
China Ruyi Holdings Limited,中國儒意控股有限公司,00136,Current,LAM Yu Ho Daniel,林宇豪,Executive Director,Managing Director,1997-08-11,2008-01-28
China Ruyi Holdings Limited,中國儒意控股有限公司,00136,Current,CHAN Oi Ling Maria Olimpia,陳愛玲,Executive Director,Chairman,1997-08-11,2008-04-07
China Ruyi Holdings Limited,中國儒意控股有限公司,00136,Current,CHENG Lok Hing,鄭陸興,Executive Director,,1997-08-11,2007-01-31
CCT Fortis Holdings Limited,中建富通集團有限公司,00138,Current,OLENICK Samuel,,Independent Non Executive Director,,1997-11-14,2008-02-05
CCT Fortis Holdings Limited,中建富通集團有限公司,00138,Current,CHENG Yuk Ching Flora,鄭玉清,Executive Director,,1998-02-09,
CCT Fortis Holdings Limited,中建富通集團有限公司,00138,Current,TAM King Ching Kenny,譚競正,Independent Non Executive Director - A/F,,1999-12-28,2022-06-08
CCT Fortis Holdings Limited,中建富通集團有限公司,00138,Current,PUTT William Donald,,Executive Director,,1997-01-02,2017-05-24
Sky Chinafortune Holdings Group Limited,天禧海嘉控股集團有限公司,00141,Delisted,YU Hon To David,俞漢度,Independent Non Executive Director - A/F,,1999-01-07,2016-07-13
Sky Chinafortune Holdings Group Limited,天禧海嘉控股集團有限公司,00141,Delisted,CHIU Chui Yi,邱垂益,Non Executive Director,,1999-03-05,2006-05-30
Guoan International Limited,國安國際有限公司,00143,Delisted,SY ETHAN Timothy,施懿庭,Executive Director,"Chairman, CEO",1998-12-09,2016-03-11
Guoan International Limited,國安國際有限公司,00143,Delisted,CHEUNG Wing Yin Vigny Wiley,張永賢,Executive Director,,1999-01-28,2008-06-04
China Merchants Port Holdings Company Limited,招商局港口控股有限公司,00144,Current,FU Yu Ning,傅育寧,Executive Director,"Chairman, Managing Director",1999-01-08,2014-05-09
China Merchants Port Holdings Company Limited,招商局港口控股有限公司,00144,Current,YU Li Ming,余利明,Executive Director,,1999-01-08,2016-11-29
Tai Ping Carpets International Limited,太平地氈國際有限公司,00146,Current,BOYCE Ian Duncan,貝思賢,Non Executive Director,,1999-06-10,2014-05-23
Tai Ping Carpets International Limited,太平地氈國際有限公司,00146,Current,LEONG Kwok Kuen Lincoln,梁國權,Non Executive Director,,1997-07-24,2012-05-17
Tai Ping Carpets International Limited,太平地氈國際有限公司,00146,Current,LEONG Kwok Fai Nelson,梁國輝,Alternate Director,,1998-12-21,2012-05-17
Tai Ping Carpets International Limited,太平地氈國際有限公司,00146,Current,LEE Tze Hau Michael,利子厚,Independent Non Executive Director,,1998-08-05,2010-06-18
Tai Ping Carpets International Limited,太平地氈國際有限公司,00146,Current,YING John Jeffrey,應侯榮,Non Executive Director,,1999-06-10,
International Business Settlement Holdings Limited,國際商業結算控股有限公司,00147,Current,KONG Ho Pak,江可伯,Executive Director,Chairman,1999-11-25,2007-10-16
International Business Settlement Holdings Limited,國際商業結算控股有限公司,00147,Current,LING Tai Yuk John,林太珏,Executive Director,CEO,1999-11-25,2007-10-16
China Solar Energy Holdings Limited,中國源暢光電能源控股有限公司,00155,Delisted,CHOW Siu Ngor,鄒小岳,Independent Non Executive Director,,1998-10-08,2008-09-23
Lippo China Resources Limited,力寶華潤有限公司,00156,Current,NING Gao Ning,寧高寧,Non Executive Director,,1998-12-09,2009-08-24
"Hon Kwok Land Investment Company, Limited",漢國置業有限公司,00160,Current,TSAI Yen Tse Patrick,蔡仁志,Independent Non Executive Director,,1998-05-01,2007-11-15
AVIC International Holdings Limited,中航國際控股股份有限公司,00161,Delisted,YAN Hai Zhong,閻海忠,Executive Director,,1997-06-14,2006-06-13
AVIC International Holdings Limited,中航國際控股股份有限公司,00161,Delisted,WANG Bin Bin,王濱濱,Non Executive Director,,1997-06-14,2012-06-19
IDT International Limited,萬威國際有限公司,00167,Current,SCHMUCKLI Jakob Joachim,,Independent Non Executive Director,,1999-05-25,2015-08-26
IDT International Limited,萬威國際有限公司,00167,Current,KAO Ying Lun,高英麟,Independent Non Executive Director - A/F,,1997-06-11,2015-08-26
Tsingtao Brewery Company Limited,青島啤酒股份有限公司,00168,Current,SUN Yu Guo,孫玉國,Executive Director,,1999-06-24,2014-06-16
China Assets (Holdings) Limited,中國資本（控股）有限公司,00170,Delisted,FAN Jia Yan,樊家言,Independent Non Executive Director - A/F,,1999-04-29,2017-11-07
China Assets (Holdings) Limited,中國資本（控股）有限公司,00170,Delisted,YEUNG Wai Kin,楊偉堅,Non Executive Director,,1997-11-28,2017-11-07
China Assets (Holdings) Limited,中國資本（控股）有限公司,00170,Delisted,WANG Jun Yan,王俊彥,Executive Director,,1998-12-30,2006-12-18
Silver Grant International Holdings Group Limited,銀建國際控股集團有限公司,00171,Current,GU Jian Guo,顧建國,Executive Director,,1999-05-25,2017-01-20
Silver Grant International Holdings Group Limited,銀建國際控股集團有限公司,00171,Current,KANG Dian,康典,Independent Non Executive Director,,1998-05-08,2014-02-28
K. Wah International Holdings Limited,嘉華國際集團有限公司,00173,Current,AKERS-JONES David,鍾逸傑,Independent Non Executive Director,,1997-07-31,2010-09-30
Superactive Group Company Limited,先機企業集團有限公司,00176,Current,BEAZER Brian Cyril,,Executive Director,Chairman,1998-03-02,2010-06-30
Jiangsu Expressway Company Limited,江蘇寧滬高速公路股份有限公司,00177,Current,FAN Yu Shu,範玉曙,Non Executive Director,,1997-04-02,2008-06-06
Jiangsu Expressway Company Limited,江蘇寧滬高速公路股份有限公司,00177,Current,CHENG CHANG Yung Tsung,鄭張永珍,Independent Non Executive Director,,1997-04-02,2009-10-19
Sa Sa International Holdings Limited,莎莎國際控股有限公司,00178,Current,CHAN Yuk Shee,陳玉樹,Independent Non Executive Director - A/F,,1999-11-01,2017-01-01
Kader Holdings Company Limited,開達集團有限公司,00180,Current,CHENG Mo Chi Moses,鄭慕智,Non Executive Director,,1999-03-18,2019-04-30
Kader Holdings Company Limited,開達集團有限公司,00180,Current,LIU Chee Ming,劉志敏,Independent Non Executive Director,,1998-06-18,2013-12-12
Concord New Energy Group Limited,協合新能源集團有限公司,00182,Current,HUANG Shu Yun,黃淑云,Executive Director,Managing Director,1997-08-06,2006-12-06
Concord New Energy Group Limited,協合新能源集團有限公司,00182,Current,NG Wing Hang Patrick,吳永鏗,Independent Non Executive Director,,1997-08-06,2006-12-06
Concord New Energy Group Limited,協合新能源集團有限公司,00182,Current,SUN Hiu Lu,孫曉路,Executive Director,Chairman,1998-12-09,2006-12-06
